pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,815.8392385386745
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,815.4861390387979
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,816.1597438469934
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,816.1180055392055
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,817.7795127536365
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,819.8386640943356
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,820.9508212756172
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,823.1582144816783
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,825.7465160643432
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,828.1644725182075
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,831.8791333995706
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,832.689337948116
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,834.6721182643082
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,834.281776958027
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,836.6218084863758
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,837.408165160043
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,837.7386459003301
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,839.021397934529
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,839.4276704253136
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,841.2273344386873
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,840.5561365479915
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,839.979995092961
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,839.8131164197652
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,839.201251680759
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,835.8203647067771
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,837.1382535681629
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,837.8790908810996
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,837.2078929904038
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,840.5455877204621
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,839.0817927302094
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,836.3319449884442
